,weight_pct
VGSH,14.894108942939052
GLD,8.949875150282068
DBC,8.949875150282068
MXI,8.487468787570517
IXN,8.487468787570517
VCIT,8.256265606214741
VCSH,8.256265606214741
SHYG,7.909460834181077
HYG,7.909460834181077
VEA,5.966583433521378
VTI,5.966583433521378
VWO,5.966583433521378
BIL,1.1102230246251565e-14
