,weight
VGSH,0.14894108942939052
GLD,0.08949875150282068
DBC,0.08949875150282068
MXI,0.08487468787570517
IXN,0.08487468787570517
VCIT,0.08256265606214741
VCSH,0.08256265606214741
SHYG,0.07909460834181077
HYG,0.07909460834181077
VEA,0.05966583433521378
VTI,0.05966583433521378
VWO,0.05966583433521378
BIL,1.1102230246251565e-16
